SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426	ZL63I8R	ZL9BTWF	ZLGD9M0	ZLPRB8E	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3	ZQMVU4Q	ZR47VBL	ZRB0F6P	ZRLZ98T	ZTJ7L7Z	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW	ZWCZHHY	ZWFDEY0	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
pRPLC_269.2264_10.4	620053.2357	692582.1733	796656.3684	688332.6448	1020243.252	876271.9458	975801.9389	779277.225	600561.3583	605042.3	544642.3111	1155264.239	879425.33	867045.9478	572082.8538	788145.4083	718368.5625	581956.5	816113.0076	642077.1	760157.0563	776196.9493	512064.425	658235.6	963713.8246	634560.6	648325.4667	943151.45	641827.95	796578.8	1314282.333	1031760.225	440685.395	614210.4333	735165.3167	395743.984	771456.6778	698617.4	1031830.7	785220.3857	1017057.673	730197.5778	814431.4	741448.0533	546400.94	434142.6333	630878.5667	651207.7857	447341.1667	864503.9125	678553.2444	658534.375	1027628.26	464866.6571	1098222.39	828541.1	1228717.793	704998.0333	925934.8	738742.5286
pRPLC_508.376_10.5	524927.5071	792350.94	655772.8579	344166.7642	643588.9851	637932.1542	747357.3222	641013.75	608217.475	783454.96	624842.8357	522128.7565	874077.44	775188.2565	725246.2077	1036733.6	611233.3125	910456.3857	567179.1795	587401	717082.7688	499497.54	609947.45	898762.8833	830118.9645	518966.7333	720098.8	908297.875	711301.9	753647.6	548533.7	743115.15	346017.6995	430328.2333	499065.3833	771113.32	628943.8556	523306.5	442960.15	502443.0857	696146.3818	801290.8222	730483.4	600472.76	666163	748725.9	688355.7889	1173414.064	693268.7667	654161.0125	643283.0667	931149.75	538335.56	571104.2143	656632.1483	348278.9	970181.8	595770.1	486761.1143	994814.4571
pRPLC_482.3238_10.5	479014.0571	681286.0667	1043995.947	575491.7111	681381.2533	906696.6583	815178.3333	811497.8188	654986.9333	713226.35	627489.745	716934.8609	973866.77	680940.8652	882312.6077	676183.4083	533962.3456	722153.0357	771141.3233	847851	722998.9375	613334.5667	1061501.429	799388.4	2959778.573	474155.8	804861.7167	1252419	819101.8	896922.15	798870.6233	966083.05	459576.767	627877.7	650884	658353.66	709323.3333	712622.4	852089.1	1181349.414	902810.6727	1012797.056	788352.4	618226.68	614408.88	710412.0667	1531421.862	921690.655	451347.9333	660228.325	975414.7444	873858.7625	759746.7	463599.5857	1167795.434	742274.1	1315064.143	1016450.413	866591.5	1237965.229
pRPLC_524.3708_10.6	22202267.14	28830060	30512467.37	16013566.6	24207171.33	29353737.5	32402967.22	26970498.13	24800774.17	26970666	23794251.11	27573854	38113451	28935730.43	35179481.54	28528295	25102678.75	32160461.43	30058540	25451360	32007165.63	24430130.25	35452673.75	26163610	37210870.91	21304986.67	28854581.67	46056365	28733025	30016162.5	36602960	35208672.5	17417900.47	24304536.67	25604246.67	23038248	27957358.89	22595955	19351375	32553885.71	31818263.64	34951146.67	24186968.33	27145984	26911740	28657060	46356505.56	41000807.86	23030556.67	27234411.25	35285257.78	33679353.75	32026886	16888085.71	37350899.31	25006410	42893298.57	32082677.5	26899310	40187802.86
pRPLC_550.3864_10.7	151296.6229	256328.5067	267252.9542	156150.7413	179640.74	172388.6138	279247.3933	219590.9625	177687.8767	235915.27	163364.4193	150829.413	510009.36	268287.5948	278367.5177	305286.2583	280531.0125	190115.6071	247084.3582	173827.6	200638.4266	150623.5142	275130.6525	195676.34	674067.1003	142451.1317	274595.8333	375280.05	253668.05	271401.575	294613.0533	301270.25	104481.45	202136.2333	201532.9217	247889.824	260810.6778	182681.09	154071.55	185359.9257	241603.1273	270288.2667	335020.75	196389.948	187860.26	325058.8667	348764.1778	458220.7857	176007.6	171630.005	269471	299485.975	217334.28	146764.8457	314020.861	131544.5	310128.4193	159555.4288	190298.38	263686.0671
pRPLC_676.417_10.7	12321.25107	50668.65127	32156.55137	13529.00069	21336.49813	25778.61502	21225.66818	18100.8935	17162.80498	12738.61153	8851.885786	17063.31661	25137.6291	30480.96186	20001.06785	9120.589167	18142.00738	19590.09	30429.30793	14873.24	154703.4266	37767.46503	41721.46587	22025.3345	32129.07155	19127.23767	5983.072933	27068.55	38933.73	50397.1925	68051.12	32136.012	9001.9855	19186.931	22229.24967	14614.421	23990.56322	36152.965	6919.1925	18844.79886	25455.92945	36354.53817	12746.5855	20547.34573	8012.615	4744.97974	35919.90222	38156.95204	4327.345667	15218.39675	19873.34756	35867.29558	46580.7382	11563.4356	22945.03586	14899.9	68850.74221	22566.45108	9423.875071	62411.97477
pRPLC_538.3863_10.8	116041.1664	140348.8453	143626.6453	120075.7909	136890.2919	131104.1588	149715.0244	122421.92	100432.5292	121792.536	98762.80857	105697.2743	202860.913	127191.4017	170236.3723	97072.58417	99617.695	155630.4714	110532.3097	107637.3	94640.28375	127100.4495	144474.5138	107914.485	310096.7682	99786.35167	134101.7367	182088.725	125532.2	177979.69	135644.5333	113417.5625	78005.72345	118372.4333	127103.235	98889.912	160342.8611	146411.45	161487.6	108835.13	137495.2364	112980.0622	117904.075	111580.058	94916.986	176753.7	240101.9333	182419.4093	110249.5033	104143.9025	134578.1333	163582.2475	115781.708	66434.80143	194177.2224	182983.5	171454.3374	108438.7529	122260.7171	173826.0214
pRPLC_510.3913_10.9	142079.2293	241580.0067	180472.6142	99413.042	156079.2588	156213.9242	224017.0483	189685.4688	161673.6008	245570.15	149927.1872	154481.433	294962.67	175652.9104	238825.9954	177152.84	140302.44	209639.1111	269771.9175	157663.9	241496.1613	173783.0098	205562.8424	261670.5333	833001.9587	169034.55	180821.975	208298.45	166774.8	278581.625	95932.25233	177957.775	108565.3296	87431.80667	180523.9567	162580.478	195155.5333	183211.55	195748.95	192101.0743	206345.5818	302576.6444	142915.84	208791.83	208916.2	228215.6	266277.2444	272772.1387	191611.9	176365.05	187138.5211	280860.8913	203738.18	182901.3814	216211.936	151229.8	286880.8943	232346.4833	160710.2271	342502.8586
pRPLC_359.3154_11	2390730.479	3564860.733	2930487.842	1849614.933	2646613.655	2911170.492	3152172.75	3153099.25	1684163.808	2607199.56	1652493.996	2305870.909	2501924.59	2785909.639	2666951.846	1950891.417	2064089.613	1913000.143	2877131.3	2240551	3666508.688	3721804.83	2982660.538	2945989.167	3319397.574	1942732	2161729.833	1797234	2102679	3730098.75	2985948.667	1945867.05	1166516.895	1250297.1	1779115.3	1258209.78	2621835.522	1913244	2721056	2032269.1	3186047.009	3575849.656	1551408.617	3027820.667	2234237.88	3230822.667	3457952.111	3235195.857	1711607.767	1819681.875	1867779.222	2236300.388	2822251.2	2907399.429	3692018.931	2792274	3926412.643	3779467.15	2380914.571	3888677.857
pRPLC_552.402_11.1	49963.11857	80625.79133	83841.92632	63789.12556	56930.68907	54355.04429	105475.678	107932.1813	41732.16	80942.648	69265.79643	38572.89009	105267.946	75404.01344	85984.70769	88714.40417	57923.4375	81300.76857	105815.1654	47911.39	55523.67938	55018.59232	99033.65813	53344.64333	178711.2564	43034.45667	71606.185	124640.45	63361.03	99435.6075	57712.79728	107598.145	26326.88501	43359.96333	71114.865	58299.1614	80908.11889	49091.44	56053.12	81567.54	64357.77727	118726.6511	99523.285	52341.87933	59337.216	123503.7367	123810.3991	174123.9579	49874.5	65184.89125	75011.88778	47437.40811	87782.188	36700.79857	126818.1079	67351.38	87888.635	46388.82536	48276.67429	80965.80046
