	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426 	ZL63I8R 	ZL9BTWF	ZLGD9M0	ZLPRB8E 	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR 	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3 	ZQMVU4Q	ZR47VBL	ZRB0F6P 	ZRLZ98T	ZTJ7L7Z 	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW 	ZWCZHHY 	ZWFDEY0 	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
IGLL5	2.261963225	3.562824533	2.603470526	2.015590889	2.537768	2.501371063	2.723912633	1.927502056	2.8377546	3.4439058	3.517385746	2.2042015	3.1204114	2.8712229	2.669770769	3.084858458	2.758364375	4.347206	2.40916084	2.777197	2.473019741	2.737862831	2.427793381	3.454507	1.7742663	3.810186286	2.3503271	2.411199	2.90972	3.0193642	2.628946	2.621313	2.74082325	2.434354667	2.51473525	2.7816872	3.477028667	2.048842	2.5684945	2.894422	1.923405191	2.656272267	2.57830145	3.179202413	4.013030333	2.500265	2.493465278	2.878485286	3.502317333	3.3080655	2.588028967	2.723307225	2.5587647	2.719078143	3.371569089	3.978942	2.353535447	2.754472	2.137968547	2.712597
MASP2	-4.226984917	-3.7263704	-3.245311105	-3.885288	-3.745524933	-3.648178458	-3.880978722	-3.460949222	-3.918813818	-4.3815806	-3.534791077	-4.749203333	-3.6346022	-3.183987217	-3.898051846	-3.304583667	-3.186837125	-3.703261571	-3.569536917	-2.952334	-3.526757928	-4.078216905	-4.256599	-3.092260143	-3.433880508	-2.891971714	-3.459036	-3.43550975	-3.677876	-3.6292388	-2.756827	-3.72927075	-3.8222825	-3.059199333	-3.550533	-5.0620302	-4.561716778	-3.116413	-3.2574615	-3.091580833	-3.527916333	-3.809045	-3.535004167	-3.245710073	-4.138731667	-3.694424	-4.263868889	-4.654926929	-3.1283	-4.006053625	-3.678762778	-3.71981325	-4.3420118	-5.570097143	-3.890012286	-3.61031	-4.732523867	-3.301825667	-2.772540333	-3.248903
APOL1	1.78939125	2.495736133	2.478385579	2.700453	2.1601384	2.169984004	2.416072667	2.304884222	1.984152091	2.1302843	2.083091615	2.342351667	1.5823559	1.984659087	2.284651692	1.8441975	1.12586625	1.968256857	2.181679833	1.838584	2.138821087	1.592451374	2.083751438	2.065782857	2.018799077	1.413481871	1.855189167	1.8593655	1.15834	2.0340848	2.268159	1.99426875	2.04111175	1.862616	1.8491605	1.375047	2.222739556	2.4309145	2.790365	1.649461533	1.767307117	1.997895889	2.075152833	1.683962067	2.0050025	1.920155667	1.808268222	1.533175929	1.558242667	2.182185	1.693838111	1.707487925	1.53580724	2.242627714	2.026647536	2.072115	2.23375	1.330749583	1.991599111	2.118866857
CEP290	-4.61460425	-5.085657467	-4.141790211	-6.243706889	-5.3695542	-5.082654458	-4.187052667	-5.0526795	-5.445442	-4.1186695	-4.896552385	-5.270159083	-3.5582048	-4.773061304	-5.270430154	-4.091226333	-3.74406625	-5.914100143	-5.44937975	-5.066516	-4.727732611	-5.5034255	-4.968286375	-5.040846286	-5.619202062	-4.928016286	-4.347655667	-4.87171875	-6.250193	-4.2445186	-5.588458667	-3.6499715	-4.53106725	-5.793835667	-5.63880025	-4.724752	-4.848088	-4.0240945	-3.301661	-5.810324	-4.45715925	-4.952858222	-5.337269667	-5.0063484	-4.548693167	-5.340345667	-4.79288	-4.723507571	-5.419873	-4.71333525	-5.187181778	-5.253929625	-5.7920474	-5.288741143	-4.827649429	-6.844104	-5.327132467	-5.623803667	-6.496800222	-5.213392429
CD5L	-0.638960988	-0.045558368	-0.456636803	-0.6518707	-2.2880438	0.172752904	-0.659854571	-0.475401847	-0.601272297	0.063776092	-0.172032445	-0.689142673	-0.48608854	-0.787898448	-0.57818716	-0.905978958	0.587214458	0.198065514	-0.27999155	-1.220578	0.155863356	-1.040819143	-1.112374313	0.162113057	-0.599980545	-0.9109844	-0.652010655	-0.15771538	0.1451169	-0.68134736	-0.349329827	-0.29960415	-0.687139	-0.8858808	-0.928684175	0.06148558	1.141013956	-0.8662833	-1.186731	-1.75218765	-0.622873292	-0.733557867	-0.528039017	0.033232981	-0.5551294	-0.413802333	0.812594961	-0.612136079	-0.509468433	-0.274339473	0.032532589	-0.412630038	0.52259553	-0.371268287	-0.157144371	-0.09365824	-0.502006513	0.511943193	-0.922742256	-0.570871357
FCN3	0.528030825	0.230315471	0.731993174	0.25128179	0.453446793	1.161795342	0.215698278	0.943609586	0.282244529	0.010409854	0.615795469	0.518948259	0.124486745	0.759986404	-0.194735792	0.8725834	0.509038389	-0.08926101	0.907369967	1.839821	0.577680253	0.285765742	-0.099613406	0.6340096	0.662744787	-0.296774569	0.453604217	0.509941825	-0.3823207	0.32626388	0.408227733	0.71790505	0.350661825	0.476465367	-0.064733815	-0.162731684	0.496659073	0.4098341	0.0524225	0.63971265	0.776986504	0.379292722	0.4731201	0.641571273	-0.559500983	0.668962767	0.287564078	0.352570978	-0.3335046	0.288227988	-0.021056692	1.1278068	0.224754378	-0.343702896	0.59598394	-2.030432	-0.146513047	0.260300317	1.051058211	0.634172414
ATRN	-1.435441158	-0.975615313	-1.161746126	-1.430852667	-1.273574333	-1.160588775	-1.273564433	-1.038757711	-0.977519145	-1.6107566	-1.125426738	-1.092655467	-1.5388686	-1.170980709	-1.111287708	-1.2892763	-1.627354875	-1.944091	-1.1221774	-0.9881339	-1.011295483	-1.353108736	-1.408418869	-1.431706143	-0.935130952	-1.601272143	-1.490416333	-1.211325575	-1.405425	-1.3661572	-1.336297	-1.3718205	-1.5450235	-1.697546667	-1.40348775	-1.4876604	-1.557385433	-1.562355	-1.423455	-1.207576183	-1.5381019	-1.1119269	-1.592862183	-1.62427574	-1.587313333	-1.171876667	-1.479707711	-1.435136183	-2.402761	-1.4742897	-1.570022889	-1.089840563	-1.4715262	-1.190148357	-0.997426103	-1.993018	-1.380189867	-1.0608685	-1.279233244	-1.203002771
ATRN.1	-2.169743833	-1.858262067	-1.864769563	-2.173226667	-1.9738332	-1.963736	-1.801480111	-1.682272333	-1.712112255	-2.3469369	-1.583486692	-1.745469792	-1.37557629	-1.859969004	-1.693424108	-1.922174217	-1.900675388	-1.6078591	-1.543172662	-2.806956	-1.654204275	-2.027017662	-1.729894556	-2.005265157	-1.360122717	-2.078560571	-1.5892852	-2.0429075	-1.934005	-2.0396016	-1.979558333	-1.89329725	-2.12534225	-2.349668333	-2.042627375	-2.4729024	-1.992846689	-2.047266	-2.1263955	-1.838054667	-1.75281735	-1.666174222	-2.231605667	-2.004263467	-2.0460395	-1.209524833	-1.92700976	-1.867550086	-1.993744333	-1.84221425	-2.173357889	-1.444336488	-1.94174656	-1.907198714	-1.586080391	-1.736891	-2.256044167	-1.616229058	-1.6589864	-1.767297486
APOM	2.654103417	2.013421067	1.952606211	2.539497556	2.416097733	2.234888417	2.217832556	2.399562	2.131965545	2.1016093	1.806742	1.87846675	2.0724447	2.241518652	2.252800462	2.251907	1.23912375	1.908813	2.404376417	1.820401	2.420404559	1.7332735	2.123105063	2.009740714	2.397276908	2.014114429	2.1981155	2.4315965	1.691422	2.4499358	2.427708333	2.2373965	1.9887005	2.75914	2.321919875	1.2431962	2.723234889	2.419508	2.0405765	2.074772667	2.585656583	2.425257889	2.330659333	2.389634267	1.504889817	2.217863667	2.354269889	2.485656143	2.545152333	2.27203025	2.315786111	1.924856	1.95647	1.202350043	2.481253643	2.143924	2.041233733	1.880203975	2.512773333	2.274211286
CP	5.704710833	6.0842266	5.721449158	6.325775889	6.015673733	5.669291833	5.595025556	5.974413	5.800421636	5.8221951	5.335554308	5.868406875	5.4461859	5.379034391	5.909821154	5.021661917	5.64692425	5.970252143	5.370924417	6.098044	5.466329662	5.725518286	5.869694813	5.658492571	5.661147569	5.608379429	5.8486835	5.8062715	6.059343	5.9143552	5.090596	5.41732725	5.6536655	5.846112333	5.47529025	5.6392212	5.660656	5.5613935	6.626925	5.592372833	5.608520583	5.466903667	5.0240185	5.522887133	5.759134	5.610170667	5.746327889	5.597056357	6.102351	5.480998	5.131742778	5.568778875	5.8910206	6.160781	5.531457393	5.696918	5.4788044	5.255363	5.797899556	5.344239857
F13A1	-0.281425442	-0.23284324	-0.943621726	0.144789313	-0.029773028	-0.122700219	-0.161354756	0.920543611	-0.03798294	-0.048778965	-0.575928054	-0.596668046	-0.60432076	-0.546627489	-0.137691599	-0.779219383	0.652359428	-0.695017484	-0.233682781	0.2118278	-0.03803452	0.022267307	-0.295142352	-0.623058631	0.46653301	0.080462257	0.161994355	-0.17911065	0.9303949	0.41341344	-0.6781255	-0.844744125	-0.2782803	0.021920067	-0.050859803	0.29994408	-0.617389122	-0.24063025	-1.02300715	-0.201578148	-0.031983166	0.15334373	0.38072585	-0.187393333	-0.962834364	-1.186923033	-0.592024582	-0.32049785	-0.768206933	0.233361849	-1.203476889	-0.277729949	0.46346638	0.090086539	-0.307394221	-0.6097581	-0.352927081	0.022881422	0.057920858	-0.215980186
F2	4.742463167	4.6995978	4.926873368	4.790241667	5.019341933	4.837686	4.930550611	5.085624278	4.636775636	4.5448637	4.823039615	5.152337667	4.9062227	5.12268487	4.973495769	4.842520167	4.942439	4.636796571	5.123215333	4.916646	5.124464124	4.89180581	4.823811875	4.973827143	5.112472646	5.045295	4.587326667	5.158416	4.640386	5.1586588	5.139562667	5.4093555	5.0640385	5.071381667	5.13728125	5.0976494	5.110796556	4.984578	4.8548455	4.925888333	4.992400667	4.803161778	4.587773	5.283462067	4.858388833	4.844704667	4.851930667	4.952707429	5.022712667	5.0051315	4.605959111	4.967048625	4.8396758	4.437103429	5.106817143	4.69163	5.018627733	4.7717825	5.055466222	5.043896429
C1R	1.914331417	1.9032366	1.993798526	1.950675667	1.937157333	1.947631583	1.755055222	2.143685111	2.177071273	1.7463455	1.196694538	2.257407333	2.0769375	2.000519004	2.207417077	2.202365833	2.2162795	2.062943429	1.701399021	2.947467	2.21004812	1.965030114	2.081890438	2.414524143	2.031054702	1.957869143	2.217563833	1.8908745	2.354213	1.9603058	2.011834	1.78418975	1.80861225	1.82385	1.793823375	2.1621688	1.919612556	2.16207	1.9779995	2.048465667	1.734262742	1.446636656	1.862135333	2.02628442	1.892626667	1.751073	2.404460667	1.996744	2.167413	1.784024125	1.669677111	2.113872164	2.3160948	1.964359429	2.126039825	1.444913	2.024183267	2.12806525	2.144498889	1.503322871
HP	7.068378417	6.9635768	6.490978421	6.679884556	6.569513067	7.516268708	7.238583	5.3379	7.458274545	4.7463668	6.999951	7.525578708	5.8540816	6.567287522	7.412282846	7.192449917	6.542059125	7.328213143	7.177565917	7.694882	7.478875632	6.985881143	6.602555	7.780341571	7.222229923	6.659043286	7.177813667	7.44858225	7.83975	7.3789164	7.606457333	6.48558775	7.01935325	6.886873	7.122566375	7.388846	6.081772556	7.734389	6.8282915	6.880461333	7.00018875	6.666397111	6.215846333	6.990244467	7.507971167	6.629706667	7.033331111	6.920178786	7.680787333	7.37293575	6.512602667	7.313808375	7.1716008	7.671219143	7.173772	6.743921	7.459745933	7.710955667	7.882688	7.165566
HPR	0.701195028	2.7767708	1.802106847	1.985501111	2.562257267	1.959811708	2.087713333	2.134268944	2.133284364	3.195152	1.227189959	1.770028454	1.113530248	1.230373909	2.352140923	1.339098417	1.703211375	2.618136857	2.09131134	-0.01551485	2.430178731	1.175118738	1.699219188	2.556216	1.859075697	1.068880043	1.992639667	1.48217475	2.420831	2.1540246	2.320873667	0.862388225	1.3578295	0.922790367	0.64606985	0.9266756	2.141494	1.62993	1.148272	1.128773133	1.199502275	1.837623844	1.330526833	1.47997134	2.332679	0.951061833	2.441198889	1.734431786	1.775437333	2.005202625	0.706187489	1.509029413	1.962985	2.739283571	1.841972325	1.721307	2.672910067	1.902278808	1.610741633	0.8811222
F9	-1.794458108	-2.068959587	-1.132594368	-1.246147711	-1.24678686	-1.620903583	-1.676389011	-1.277546728	-1.317218736	-1.7019779	-1.538780046	-0.936984221	-0.641360962	-1.266252203	-0.789960485	-1.112508542	-1.130260429	-1.869183571	-1.427937654	-3.014705	-1.243649418	-1.51968386	-0.908474894	-1.126326871	-0.777795639	-1.531009286	-1.64207511	-1.1585508	-2.058681	-1.59083562	-1.368790333	-1.208343925	-1.44388425	-1.600180667	-1.253349813	-1.41284748	-1.161981797	-1.05931195	-0.95495415	-1.231208067	-1.0887838	-1.059007422	-1.28944285	-1.741376447	-1.2734107	-1.740653367	-1.974904856	-1.789535286	-1.988060767	-1.660669625	-1.332221642	-1.213817725	-2.02111806	-1.6413854	-2.2452293	-0.685098	-1.654592872	-1.234541833	-0.9459578	-1.197065149
F10	0.51755994	-0.263815586	0.152238796	0.795247211	0.316541436	0.271625036	0.678588683	1.109190011	-0.5036173	-0.47092749	0.612049169	1.339083788	0.49552784	0.458463237	0.625924315	0.183683271	0.20099663	0.286792084	0.652759447	0.6348974	0.862453099	0.510788213	0.367387754	0.573771041	0.763361225	-0.138540263	-0.773987553	0.80653195	-0.1001102	0.139574434	0.855938167	0.4501575	0.705055275	0.495068887	0.18205815	-0.230680418	-0.183726893	0.3606192	0.5984105	0.53711375	0.740369438	0.135512588	0.426544423	0.237336784	0.6215316	-0.059098743	0.36125641	0.135572889	0.175447367	0.489404774	0.5118378	0.630253038	0.374981328	-0.281767752	0.690996743	-0.7626903	0.490809612	0.221596413	0.301705743	0.629478157
CFD	-3.0628177	-3.1959492	-4.947998947	-3.704474444	-3.532764067	-3.950318875	-3.357750944	-4.172973222	-3.398542364	-3.6352401	-3.375039615	-3.266137583	-3.4542431	-3.434618739	-3.162100308	-4.270173667	-2.947000625	-4.364998429	-3.453272042	-3.970372	-3.454843529	-2.930373738	-3.054286625	-3.195726857	-3.730076354	-4.162394429	-3.881238333	-3.323888	-2.604448	-3.962803	-2.647325333	-3.706132	-3.0330235	-4.824679667	-4.371736375	-3.2349348	-4.033574556	-3.1407335	-3.0438385	-3.243844667	-3.687448333	-3.372840889	-4.812466667	-4.7280858	-3.431430833	-4.066664	-4.572684222	-3.940605714	-5.550733333	-3.914094875	-3.088906333	-3.603337375	-4.9735928	-2.993469286	-3.647345357	-3.147009	-3.626878333	-3.54251025	-3.614388778	-3.403549429
PLG	4.94484275	4.9857228	4.892523789	5.091063444	4.6992216	4.7529355	5.028376556	5.048629389	4.788652364	4.6397256	4.625099846	4.994951917	4.887469	4.979064957	4.892735462	4.890486333	4.756754	4.829975571	5.11573025	5.001682	5.19147599	4.408652214	4.846948438	5.061534286	5.102120862	5.169813714	4.751449667	4.9226245	4.817774	5.010311	5.223438333	5.2529075	4.839782	5.031702	5.051834875	4.6414306	5.062275333	4.924244	4.75866	4.989562667	4.695367583	4.829263333	5.033332667	5.188773067	5.0873965	4.933358	5.115321333	4.563418643	4.727505	4.93715175	4.953335889	5.096909125	4.835008	4.675032571	4.745715929	4.875344	4.780586267	4.9269135	4.534343889	4.908452143
F12	1.703798333	0.425704179	1.651578947	2.385233667	2.158219733	2.231688571	1.977677	2.324728389	1.536566273	1.3203811	0.7466292	1.298788742	1.04112358	1.8132509	1.838232769	1.842109917	1.783532	1.2984195	1.726375392	1.89551	1.177458525	2.227489481	0.6702563	0.965784957	2.434172061	1.661084143	1.861024167	2.37227675	2.293584	1.8046454	1.2870485	1.222536075	0.947651575	2.369939	1.619191625	1.9922884	0.981299089	0.71038125	1.6503825	2.436833667	2.36955725	2.115062667	1.886320333	2.443890267	2.267960167	0.565087667	1.671694267	1.492443671	0.876066833	2.43452475	2.196830444	1.80614645	1.09656558	1.762474429	1.835925179	2.060424	2.265904933	1.548638417	1.926275333	2.184890143
CFB	5.214305417	5.1494734	5.099649	4.542518222	5.3025602	5.0942325	4.411725778	5.199999722	4.782044727	4.5262892	4.712136615	5.22120075	4.7780961	4.989761522	4.892906692	4.645841083	4.311082375	5.050277	4.627462375	4.407327	4.952565033	4.890047548	5.201251125	4.621223143	5.057794846	5.061987571	4.535577	4.93719525	5.230744	5.241075	5.267921333	4.8880895	4.86771075	4.875879	5.218426625	4.9398544	4.487474778	5.0816025	4.93803	4.894376667	4.827199583	4.752577444	4.995488667	4.940610933	5.3452685	5.121350667	4.874239333	4.572128143	5.087268333	4.85742875	4.647429778	5.219727875	4.7575102	5.173883	4.84452175	4.888408	4.791712333	4.81824525	5.315444778	5.072304143
CA1	-3.482589333	-3.336737467	-2.995174316	-2.921114333	-2.8634254	-3.556802958	-2.399083728	-2.629069056	-2.282659691	-2.4449958	-2.775808692	-2.285788085	-3.068975	-2.398422478	-2.637748615	-2.084300742	-1.592294563	-2.474678143	-2.258107917	-2.24204	-3.448142101	-3.419345583	-2.411116413	-2.860843714	-2.4711183	-2.308827243	-3.042482833	-2.58340775	-4.031757	-4.0249306	-2.441173	-2.04521225	-3.128913	-1.258404479	-1.3778277	-2.18055892	-3.181415111	-2.217612	-4.5165405	-2.063307667	-2.092013183	-2.624290356	-2.76680455	-2.181808833	-3.0408405	-3.111098333	-3.284322111	-2.662356286	-2.530771	-2.5564975	-2.329823667	-3.178617313	-3.06132104	-2.867370429	-2.914439507	-0.2466831	-2.4758184	-2.84549755	-2.890905	-3.556490571
ASS1	-5.602851	-4.315769267	-3.387791947	-3.788607444	-3.6366948	-4.540712513	-4.199678511	-4.743011611	-2.217289173	-4.3581046	-4.372987538	-3.093131942	-2.32298732	-3.523922443	-3.425713538	-2.838991083	-2.57274155	-2.619494539	-2.884812421	-0.8289783	-2.682834206	-4.228401929	-3.599622375	-4.005320829	-2.659091782	-3.326195143	-3.5042065	-3.8236365	-3.14593	-3.826343	-3.274010333	-3.032387775	-4.001696	-2.288499333	-4.073899125	-2.619835	-2.766742289	-4.292654	-4.875142	-3.822766	-2.639211167	-3.665645736	-4.098452667	-3.318888673	-3.250197667	-3.231431	-3.825532622	-3.155518786	-1.8053341	-4.245454375	-3.9323107	-1.761569425	-3.3735274	-4.117278286	-3.7557483	-7.461329	-3.706246247	-3.465138775	-2.229414556	-3.934895571
SERPINC1	4.962535917	5.058337133	5.013027526	4.786175667	5.0187558	4.937929875	4.949910722	5.084454333	4.683406	4.6293294	4.648115462	5.231460667	5.0514657	5.076740913	4.830234154	5.220917417	4.84087425	4.725744857	5.190306833	4.510859	5.025426197	4.727706095	4.566952375	4.987149	5.156233462	5.404714429	5.070337833	4.958174	4.891177	5.3122978	5.302118	5.254568	5.07356125	5.089178667	5.174606625	4.952884	5.210888	4.9249945	4.748067	5.108731833	4.9979475	4.648698111	5.2026825	5.189867533	4.668825333	5.020526667	4.909089444	5.012053786	5.058110667	4.989053125	4.908543222	4.89289525	4.8290274	4.583902286	5.182321893	4.512761	4.861024667	4.821122667	5.219750222	4.939088714
SERPINA1	7.985659583	7.9034508	7.924703842	7.997732778	7.935974467	7.856142042	7.911519222	7.639702222	7.848126	7.6721354	7.656288462	7.809090833	7.435786	7.801339957	7.619793077	7.854402833	7.706838	7.188408857	7.901746167	7.614761	7.657055968	7.792226	7.691588625	8.028342143	7.271588585	7.851540429	7.905451833	7.95625	8.013366	7.928031	7.799469333	7.568314	7.6421765	7.646101333	8.183325875	8.2777514	7.839408889	7.6937005	8.156205	7.879477	7.595303167	7.931667222	8.312899	7.759491933	7.675732833	7.983883333	7.841656222	7.946593857	8.215482333	7.765212125	7.855695333	7.81702875	7.935574	8.086208	7.739512179	8.452889	7.613402	8.100225417	7.973053	7.776698714
SERPINA3	4.821322917	5.4165372	4.959116105	4.737254333	5.207796533	4.957044583	4.910686278	5.148989444	5.108880727	4.8332544	4.410366231	5.156766708	4.7133684	5.313206783	4.804004615	4.78708275	5.182454125	4.699774714	5.223006375	4.759071	4.968761907	5.157237024	4.8074565	4.781516286	5.058232338	5.026429714	5.022573833	5.20148075	5.240646	5.1360502	4.976303	4.76436475	4.865977	4.883137333	4.966325125	5.6661042	5.087737	4.877092	4.922891	5.1144675	4.899986	5.026491778	5.282788333	5.009094467	5.068792167	5.265268333	4.801322778	4.833854857	5.207289333	5.139974875	4.850178333	5.226640875	5.0732038	5.425055286	5.189061821	4.843965	4.9097694	4.984306333	5.270808556	4.959666714
AGT	2.9695065	3.2234356	3.420536211	4.566815667	3.535791467	3.405462125	3.144364833	3.279307611	3.404648818	3.0240332	3.205620154	3.31290825	3.2406804	3.153491652	3.100467154	3.34200775	3.079706625	3.168593571	3.499470833	3.691264	3.440223248	3.353078857	3.30377625	3.603025143	3.566369708	3.318861857	3.319551167	3.61199275	3.439242	3.391687	3.654986	3.20787875	3.2492505	3.949873667	3.426768125	3.1393252	3.248178111	3.5431005	5.319787	3.377623	3.3433855	3.097597111	2.7062455	3.3852224	2.917065	2.852824333	3.638606333	2.9651365	3.148845667	3.237580125	3.125615778	2.99654925	3.4615118	3.290934714	3.452413214	3.698833	3.623362533	3.063169833	3.908023444	3.156486857
A2M	8.74414525	8.1105998	8.400209211	8.077925333	8.055028267	8.037490792	7.528776056	7.710961333	7.586198	8.0932373	8.056910846	7.670048625	7.6549511	8.056555913	7.635957615	7.60001975	8.15929075	7.895702857	8.089866208	7.674623	7.607295076	7.61376219	8.224520188	7.890525	7.423851138	7.746276571	8.1841155	7.95735675	7.949517	8.4075594	7.685553	7.570527	7.73016025	8.658261667	8.119261875	8.2101918	8.258509	7.5230125	7.8066795	7.630674	7.627433833	7.751373111	7.597054833	7.646104267	7.864243	8.348081	8.176107556	8.187497429	8.634636667	7.425901	7.842324	8.377049	8.1873784	7.663372857	7.988715214	8.027349	8.051112	8.484960667	8.105456111	7.355611286
C3	8.64571725	8.483747267	8.468139842	8.231104889	8.565713333	8.682726583	8.3115525	8.672822444	8.457814909	8.2521206	8.536676692	8.717876875	8.2702982	8.819124739	8.731897923	8.348610833	8.435010875	8.442819857	8.523949458	8.053617	8.615333061	8.428627238	8.464181125	8.723186429	8.658555431	8.686638	8.043073333	8.9234905	8.471946	8.9189884	8.781333667	8.57417225	8.697926	8.289586333	8.897397625	8.772203	8.257740111	8.5965565	8.4320935	8.925856167	8.538320917	8.488468222	8.367863	8.662298067	8.743571167	8.899283667	8.414666	8.448096429	8.735704667	8.60581875	8.158426778	8.633667125	8.3989072	8.541588429	8.410656357	8.561348	8.598260933	8.690181417	9.067985556	8.842617857
C5	3.660848333	3.511537933	3.448446368	3.565843667	3.625436867	3.550082958	3.560433333	3.796900444	3.917204364	3.3432322	3.543061462	3.735751292	3.2547762	3.557693522	3.572197615	3.553668583	3.721424125	3.562417143	3.490970917	3.621995	3.548620559	3.629948071	3.566525438	3.432090429	3.620930246	2.979712857	3.529389	3.8987415	3.90737	3.6400326	3.450015	3.4035385	3.48391275	3.322307333	3.617437875	3.6496	3.303640667	3.7186345	3.58809	3.755135833	3.30552925	3.553957889	3.404402167	3.6988682	3.77752	3.254418	3.517179	3.628812571	3.530764333	3.65224625	3.334463222	3.664807875	3.6278258	3.572357429	3.452177429	3.136292	3.677176467	3.5635515	3.906388	3.763871571
CST3	-2.104906758	-2.702496933	-2.552622105	-2.667312111	-2.1503978	-2.118096958	-2.298608556	-1.923045183	-2.297391727	-2.9031548	-2.221580692	-2.059445792	-2.28122125	-2.185255974	-2.399407692	-2.626901917	-2.51016775	-2.842321714	-2.428028708	-2.598323	-2.413908992	-1.350305505	-2.061746019	-2.910836571	-2.465785745	-2.163930857	-1.65092735	-2.55205975	-2.413622	-2.6143048	-2.548656333	-2.2339965	-2.68881125	-2.898374667	-2.737666	-2.640066	-2.315072067	-2.1865875	-3.020391	-2.160642167	-1.82509175	-3.050521011	-2.574482667	-2.510195933	-2.336751667	-2.592865333	-2.576682556	-2.430642071	-2.665481667	-2.88959675	-3.388504	-3.283993125	-3.814283	-2.432234943	-2.323230832	-4.315693	-2.791699753	-1.992822583	-1.981609389	-2.141216143
KNG1	3.215361417	2.844759107	3.022090868	3.363253556	3.224891133	3.345761375	3.099310444	3.365684778	3.303339273	2.7919696	2.881644308	3.602545667	3.2952392	3.274573609	3.578807923	3.246828583	3.388054	3.258955286	3.531376454	2.692892	3.46659215	3.441545938	3.349856	3.605936143	3.648451923	3.133978714	3.455197	3.37956825	3.437677	3.4912338	3.44176	3.4877215	3.2965125	3.423401667	3.671122875	3.0543796	3.701761333	3.115396	3.74461	3.5514915	3.476576667	3.221845667	3.620469333	3.6298622	3.512964167	3.083979333	3.592606889	3.064680143	3.635002333	3.47847275	3.252191222	3.5553005	3.5483106	3.232288857	3.589515357	3.480301	3.135924133	3.0643165	3.573185222	2.931924571
KNG1_2	-4.514875417	-4.585182767	-5.083152684	-4.661050889	-5.145946267	-5.225245575	-5.092136611	-5.130198167	-6.180640727	-5.0824676	-5.280324308	-5.010826667	-5.0684052	-5.113638291	-4.849374154	-4.40044575	-5.15395775	-5.205988714	-3.930426058	-4.504846	-4.287326393	-4.97785019	-5.354911688	-4.269886286	-5.054511092	-4.335801	-5.508894833	-5.04243325	-6.880434	-4.7838676	-4.237715333	-4.40384625	-3.43636685	-3.9165139	-4.45923975	-4.6947244	-4.98766	-4.289905	-3.893118	-4.576428333	-5.523517917	-5.370345667	-4.787928	-5.220688467	-5.208343167	-4.104225	-5.495760222	-5.715093643	-5.030645	-4.855688125	-4.010592667	-4.935656125	-5.5612068	-5.456916714	-4.449576796	-6.25368	-5.32159118	-5.419936917	-3.811677111	-4.367426286
IGF2	-3.400911667	-3.103440933	-3.316360211	-3.184346556	-2.904358067	-3.207791625	-3.189313167	-2.806183667	-3.474782545	-3.4846109	-3.449053385	-2.854640667	-2.8050422	-2.987839087	-3.140937077	-3.114721083	-2.584891	-2.867121714	-2.969842042	-2.310832	-3.320478743	-3.208220619	-2.907174188	-2.856157429	-2.851059631	-2.933742	-3.1293575	-3.1626375	-3.883876	-3.1928612	-2.898756	-2.654251	-3.1784585	-3.340891333	-3.147753	-3.0336684	-3.222393667	-2.7855815	-2.82917	-3.063164167	-3.1027145	-3.33283	-3.045072167	-3.0324116	-3.138797833	-3.076261667	-2.900540444	-3.207279571	-3.04942	-3.002779	-3.075645778	-3.140425125	-3.0470582	-3.232906429	-3.205510679	-2.526621	-3.156629667	-3.497534417	-2.566343333	-2.870188143
IGJ	3.71524575	3.938876	3.402532684	2.856232444	2.098572667	4.407946667	3.205658611	2.380984444	1.795771636	3.4666586	4.144240692	2.925167042	3.0877738	2.515836152	2.642062308	2.789901833	2.789510863	2.966325	3.153585917	3.031716	3.287469315	2.502289557	1.966280375	3.510513429	2.902713935	3.472301143	2.6981945	3.326869	2.984622	3.0554734	3.362720333	2.90702625	3.2086805	3.476114	2.5743425	2.89742844	4.886053	3.1111245	2.342609	2.406493167	2.909919167	2.601038444	3.0069716	3.376606333	3.057623	2.262189667	3.657741667	2.924973857	2.589813667	3.54690825	3.818950556	3.379586875	2.7442456	3.182563143	3.185900643	2.334647	3.219604467	2.719846333	2.374772667	3.709862857
