	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y	ZKFV71L	ZKVR426 	ZL63I8R 	ZL9BTWF	ZLGD9M0	ZLPRB8E 	ZLPZS0H	ZLTUJTN	ZLYEM2C	ZLZNCLZ	ZLZQMEV	ZM7JY3G	ZM8YXDM	ZMBH10Z	ZMBVNFM	ZMS5W76	ZN0JE53	ZN3TBJM	ZN9YTFN	ZNDMXI3	ZOZOW1T	ZPDABJR 	ZPEL6L3	ZPF36E2	ZPMBHPS	ZQFL1P3 	ZQMVU4Q	ZR47VBL	ZRB0F6P 	ZRLZ98T	ZTJ7L7Z 	ZTLIFAS	ZTMFN3O	ZTTL3YH	ZTUO1AO	ZTXY83G	ZUL3S6O	ZUPAQVU	ZV14SIB	ZVBQY1N	ZVC4YUG	ZVGW5FI	ZVM4N7A	ZVNCGHM	ZVTCAK9	ZW61YGW 	ZWCZHHY 	ZWFDEY0 	ZWHMV5E	ZWLGEWL	ZX52KVK	ZXSO14L	ZY1ZKJY	ZY7IW45	ZY9XQJP	ZYXQKWY
DBH	-2.580005667	-1.842011267	-2.341770663	-2.198919444	-0.750889513	-2.448017821	-0.9515543	-0.934399306	-0.992925714	-1.8330072	-3.554048477	-1.167984933	-1.07686324	-1.285676723	-2.745069862	-2.071733067	-3.453890863	-1.322723843	-1.141500412	-4.272941	-2.366442296	-1.970935902	-1.52997015	-1.432880197	-2.424727175	-3.124979	-0.604122433	-1.13653585	-1.801868	-0.69015618	-1.252761733	-0.9035223	-1.185702888	-0.790648667	-2.403818875	-2.4613992	-1.202092444	-1.533706	-1.08283985	-1.968563683	-1.56763918	-3.614923156	-3.481284167	-0.589375773	-1.661191317	-4.772870333	-1.528938578	-1.233678029	-1.873876	-0.765915385	-1.963973811	-3.272694338	-2.25708996	-2.310149714	-2.414912764	-1.38047	-2.767544547	-1.895028312	-0.952859267	-0.649930679
C1S	2.483047583	2.414411133	2.538739316	2.397846556	2.521118867	2.443640542	2.530998667	2.525456667	2.391940636	2.2044012	2.286900154	2.726636083	2.401405	2.592338391	2.393061	2.4807865	1.908813	2.440726429	2.196073667	2.383911	2.533580114	2.2016045	2.308421063	2.491098	2.433141708	2.200475857	2.473853333	2.38718225	2.241732	2.4645804	2.487109	2.22652475	2.3538735	2.252947333	2.1546125	2.1291032	2.235517111	2.529012	2.3568465	2.343433167	2.374227417	2.231560556	2.256202333	2.413942133	2.1704805	2.387184333	2.611258	2.308082214	2.493592333	2.220828	2.041987778	2.385968625	2.3988754	2.261662857	2.413888107	1.73658	2.419256467	2.40796525	2.512292889	2.271568
C4A	-4.57254525	-4.0776346	-5.050247579	-3.922882667	-5.170002933	-4.961913542	-4.519387	-4.152528889	-3.911558318	-4.7787924	-4.347759	-4.744560958	-3.0283352	-3.446229057	-4.564646692	-4.0394915	-3.74379685	-4.102912429	-3.563774704	-4.291838	-3.649623222	-4.42657031	-4.033959813	-4.022267514	-4.630229908	-4.780131143	-4.338855167	-4.738623	-2.07387	-6.1358378	-6.384400333	-3.98801875	-5.60783325	-4.981567	-5.109431375	-2.7456066	-4.913671222	-5.5056645	-5.534671	-3.926676	-3.869018842	-4.083193111	-4.931407833	-4.410166073	-5.074479833	-5.558748333	-4.504454656	-5.029336143	-3.785222	-4.04780875	-4.340863667	-3.48090072	-4.5944212	-4.477156571	-4.142463286	-3.329435	-3.559911213	-3.925043408	-4.156641544	-5.596288429
C4B	-1.109326767	-2.51905786	-1.364041332	-0.39863625	0.728545867	-0.752273988	0.258786617	-4.401052111	-1.929114818	-1.06748591	-1.322999392	-0.425566153	-0.394417229	-0.828055261	-1.123218969	-2.3933604	0.036367308	-0.56671798	-0.872435203	-1.302685	0.073423923	-0.237451655	-0.361983198	-0.937464186	-0.751839894	0.998012929	-0.07313835	-1.84391445	0.5777856	-0.12028414	-0.611898767	-1.047556375	-0.565856	0.538601267	-1.715608738	0.217704908	-0.977188767	0.578697185	0.824209	-2.41746965	-0.7897584	-1.243585144	-1.912970767	0.385271724	-0.66475995	-0.169054467	-2.233239333	-1.53553481	-0.263770267	-1.585645725	-1.336665584	-0.537851663	-0.183893374	-1.057051429	-0.680996494	0.2577032	0.180873005	-0.182085818	0.080611989	-0.761772114
IGLC2	-4.85383225	-4.343396867	-4.790368105	-4.177372333	-4.8644984	-4.800126042	-5.414398056	-4.958724556	-5.192769364	-4.8208299	-5.181554385	-5.3910055	-3.684411	-4.374586739	-5.070083154	-4.291977333	-4.54911675	-3.931721	-4.226323792	-5.314734	-4.490632538	-4.62368481	-4.57366825	-4.415609857	-5.056452846	-4.807699571	-4.337411333	-5.6815465	-6.129817	-4.5138392	-2.450258	-3.939891	-5.68475175	-4.896563333	-4.999663375	-3.7556108	-3.629340778	-3.796095	-4.830512	-3.765484167	-4.869274333	-4.855867889	-3.263679167	-3.691632533	-4.771928	-2.869440667	-3.491722333	-4.479902357	-4.204593667	-4.609123125	-4.743349667	-4.4357485	-4.8238692	-5.001459571	-4.241261786	-2.589168	-4.5069388	-4.749638833	-4.146209444	-4.780473857
SAA1	-0.218518011	-1.087958507	-2.662541884	-1.962327678	-0.682607723	-1.206878267	-1.218548744	-1.371173217	0.245413309	-3.0974055	-0.6360692	-1.073559763	-1.76854929	-2.228143165	-1.449758462	-1.341831175	-2.200162463	-0.430738929	-1.492278425	0.07853639	-0.76902327	-0.030871562	-0.372313531	-1.798229857	-1.828630768	-0.227073593	-0.281516333	0.0764448	1.857694	-1.08117776	-0.425242533	-2.06359775	-2.0023829	-2.332836667	-2.741478875	-1.84324722	-2.012326	-0.0864597	-1.8210915	-0.6311629	-0.870101092	-2.324769889	-4.556246167	-1.30885344	-0.6025409	0.369508437	-0.862232611	-3.701967443	0.394261333	-5.286076125	-2.469451	-1.504564688	-1.0964407	-1.190138257	-1.448895621	-0.5674825	-0.887977227	-1.438889849	-0.810562322	-0.863234201
SAA2	-2.5181445	-3.9399526	-5.052523174	-5.562439333	-4.546866267	-4.200637	-3.418977	-4.389610194	-3.055003364	-4.5954438	-3.033945692	-3.791536767	-4.362194011	-4.663318165	-4.501639077	-3.560260917	-4.823477875	-2.768427571	-4.332920993	-4.333608	-3.775136416	-3.630835548	-3.082853121	-6.164481286	-4.367898366	-4.636357714	-2.527092733	-2.26079695	-3.465596	-4.8399092	-3.123682667	-3.6101505	-4.21319975	-5.677774667	-4.423483625	-4.2791998	-3.844138556	-2.536892	-5.1859745	-3.445123667	-4.025287583	-5.158694333	-5.989547667	-4.780272867	-3.166166667	-1.317388	-4.231127	-5.188639643	-1.3068953	-5.343815875	-5.290079111	-4.690237875	-4.3745612	-3.061113571	-4.131676	-2.096173	-3.168729827	-4.879249583	-3.953774444	-3.495900571
C7	0.419799656	0.70405026	0.275894443	0.198955483	0.515275747	0.241083488	0.254358933	0.712420815	0.856870009	0.66624054	0.3412044	0.633425496	0.57305218	0.408071076	0.577614848	1.15489485	1.40120935	0.43554638	1.152804443	1.366842	0.765120388	0.59498212	0.534573356	1.058462743	1.305517077	0.900016143	1.101617733	0.998277175	0.8209659	0.368144514	0.325150343	0.07973315	-0.033291438	0.384243933	0.727341275	1.57976072	1.272788536	0.52311295	-0.64143685	0.865147283	0.575001179	0.867023922	0.502546783	0.637789539	0.857782733	-1.020455133	0.964776956	0.341794532	1.041783933	0.041616326	1.122225778	0.853326925	0.7506617	1.179495929	0.314080068	0.6586408	0.983926793	1.040768908	0.982575756	0.222976451
CLU	4.13479725	4.458996533	4.217872474	4.178282333	4.172989467	4.271506542	4.118294667	4.385243167	3.916637818	4.2056467	3.846801077	4.314143083	4.1788563	4.09623087	3.934610923	4.403492167	4.17407725	3.966376143	4.34725775	3.734992	4.238444727	4.018592333	3.930960625	4.305511857	4.200449723	4.587842571	4.123517	4.27187725	4.526697	4.4316858	4.445173667	4.41146875	4.32437775	4.454993	4.3181795	4.2433984	4.406223333	4.039829	4.04552	4.232433	4.178320583	3.946238667	4.550843	4.241473333	3.964369333	4.167783	4.152932556	4.118698571	4.177943	4.242136875	4.102879889	4.17783325	4.1096472	4.071305143	4.279348036	3.910744	4.122409867	4.1991	4.650493333	4.144672143
CLU.1	3.254626	3.5366152	3.407250842	3.108195111	3.2138238	3.397247042	3.186957611	3.496697222	2.994466455	3.1812322	3.014332538	3.468418583	3.3577033	3.181360261	3.119392923	3.43147925	3.147371125	3.068722857	3.504040792	3.112187	3.298505429	3.214967333	3.185260313	3.331445714	3.344009215	3.525184429	3.2744235	3.4616745	3.312369	3.5066618	3.484970333	3.54423125	3.43974175	3.460243667	3.36925	3.0968826	3.744012333	3.0338145	3.158749	3.340947167	3.369711917	3.018751667	3.647862167	3.418025667	3.232173333	3.252966667	3.257417556	3.327000857	3.384483667	3.360846125	3.108600222	3.411526875	3.1656616	3.033816286	3.345753214	3.555799	3.1280584	3.2371305	3.733792	3.237259
